=== Master.txt (Master Node Log) ===
============================================================
Master Node | Distributed KV Store
============================================================

[103.00] MASTER | DISTRIB | INFO | KV[0079] -> 워커1 배정, 대기열=3/10, 일반
[104.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[104.00] MASTER | DISTRIB | INFO | KV[0080] -> 워커1 배정, 대기열=4/10, 일반
[105.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[105.00] MASTER | DISTRIB | INFO | KV[0081] -> 워커1 배정, 대기열=5/10, 일반
[106.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[106.00] MASTER | DISTRIB | INFO | KV[0082] -> 워커1 배정, 대기열=6/10, 일반
[107.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[107.00] MASTER | DISTRIB | INFO | KV[0083] -> 워커1 배정, 대기열=7/10, 일반
[108.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[108.00] MASTER | DISTRIB | INFO | KV[0084] -> 워커1 배정, 대기열=8/10, 일반
[109.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[109.00] MASTER | DISTRIB | INFO | KV[0085] -> 워커1 배정, 대기열=9/10, 일반
[110.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[110.00] MASTER | DISTRIB | INFO | KV[0086] -> 워커1 배정, 대기열=10/10, 일반
[111.00] MASTER | NET | INFO | WORKER1 -> MASTER, 메시지=STATUS, 통신 지연=1.00초
[112.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[112.00] MASTER | DISTRIB | INFO | KV[0087] -> 워커1 배정, 대기열=4/10, 일반
[113.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[113.00] MASTER | DISTRIB | INFO | KV[0088] -> 워커1 배정, 대기열=5/10, 일반
[114.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[114.00] MASTER | DISTRIB | INFO | KV[0089] -> 워커1 배정, 대기열=6/10, 일반
[115.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[115.00] MASTER | DISTRIB | INFO | KV[0090] -> 워커1 배정, 대기열=7/10, 일반
[116.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[116.00] MASTER | DISTRIB | INFO | KV[0091] -> 워커1 배정, 대기열=8/10, 일반
[117.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[117.00] MASTER | DISTRIB | INFO | KV[0092] -> 워커1 배정, 대기열=9/10, 일반
[118.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[118.00] MASTER | DISTRIB | INFO | KV[0093] -> 워커1 배정, 대기열=10/10, 일반
[119.00] MASTER | NET | INFO | WORKER1 -> MASTER, 메시지=STATUS, 통신 지연=1.00초
[120.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[120.00] MASTER | DISTRIB | INFO | KV[0094] -> 워커1 배정, 대기열=5/10, 일반
[121.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[121.00] MASTER | DISTRIB | INFO | KV[0095] -> 워커1 배정, 대기열=6/10, 일반
[122.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[122.00] MASTER | DISTRIB | INFO | KV[0096] -> 워커1 배정, 대기열=7/10, 일반
[123.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[123.00] MASTER | DISTRIB | INFO | KV[0097] -> 워커1 배정, 대기열=8/10, 일반
[124.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[124.00] MASTER | DISTRIB | INFO | KV[0098] -> 워커1 배정, 대기열=9/10, 일반
[125.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[125.00] MASTER | DISTRIB | INFO | KV[0099] -> 워커1 배정, 대기열=10/10, 일반
[126.00] MASTER | NET | INFO | WORKER1 -> MASTER, 메시지=STATUS, 통신 지연=1.00초
[127.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[127.00] MASTER | DISTRIB | INFO | KV[0100] -> 워커1 배정, 대기열=6/10, 일반
[128.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[128.00] MASTER | DISTRIB | INFO | KV[0101] -> 워커1 배정, 대기열=7/10, 일반
[129.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[129.00] MASTER | DISTRIB | INFO | KV[0102] -> 워커1 배정, 대기열=8/10, 일반
[130.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[130.00] MASTER | DISTRIB | INFO | KV[0103] -> 워커1 배정, 대기열=9/10, 일반
[131.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[131.00] MASTER | DISTRIB | INFO | KV[0104] -> 워커1 배정, 대기열=10/10, 일반
[132.00] MASTER | NET | INFO | WORKER1 -> MASTER, 메시지=STATUS, 통신 지연=1.00초
[133.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[133.00] MASTER | DISTRIB | INFO | KV[0105] -> 워커1 배정, 대기열=7/10, 일반
[134.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[134.00] MASTER | DISTRIB | INFO | KV[0106] -> 워커1 배정, 대기열=8/10, 일반
[135.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[135.00] MASTER | DISTRIB | INFO | KV[0107] -> 워커1 배정, 대기열=9/10, 일반
[136.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[136.00] MASTER | DISTRIB | INFO | KV[0108] -> 워커1 배정, 대기열=10/10, 일반
[137.00] MASTER | NET | INFO | WORKER1 -> MASTER, 메시지=STATUS, 통신 지연=1.00초
[138.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[138.00] MASTER | DISTRIB | INFO | KV[0109] -> 워커1 배정, 대기열=8/10, 일반
[139.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[139.00] MASTER | DISTRIB | INFO | KV[0110] -> 워커1 배정, 대기열=9/10, 일반
[140.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[140.00] MASTER | DISTRIB | INFO | KV[0111] -> 워커1 배정, 대기열=10/10, 일반
[141.00] MASTER | NET | INFO | WORKER1 -> MASTER, 메시지=STATUS, 통신 지연=1.00초
[142.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[142.00] MASTER | DISTRIB | INFO | KV[0112] -> 워커1 배정, 대기열=9/10, 일반
[143.00] MASTER | NET | INFO | MASTER -> WORKER1, 메시지=TASK, 통신 지연=1.00초
[143.00] MASTER | DISTRIB | INFO | KV[0113] -> 워커1 배정, 대기열=10/10, 일반
[144.00] MASTER | NET | INFO | WORKER4 -> MASTER, 메시지=STATUS, 통신 지연=1.00초
[145.00] MASTER | NET | INFO | MASTER -> WORKER4, 메시지=TASK, 통신 지연=1.00초
[145.00] MASTER | DISTRIB | INFO | KV[0114] -> 워커4 배정, 대기열=3/10, 일반
[146.00] MASTER | NET | INFO | MASTER -> WORKER4, 메시지=TASK, 통신 지연=1.00초
[146.00] MASTER | DISTRIB | INFO | KV[0115] -> 워커4 배정, 대기열=4/10, 일반
[147.00] MASTER | NET | INFO | MASTER -> WORKER4, 메시지=TASK, 통신 지연=1.00초
[147.00] MASTER | DISTRIB | INFO | KV[0116] -> 워커4 배정, 대기열=5/10, 일반
[148.00] MASTER | NET | INFO | MASTER -> WORKER4, 메시지=TASK, 통신 지연=1.00초
[148.00] MASTER | DISTRIB | INFO | KV[0117] -> 워커4 배정, 대기열=6/10, 일반
